accel_x 	 accel_y 	 accel_z 	 gyro_x 	 gyro_y 	 gyro_z 	 compass_x 	 compass_y 	 compass_z 	 time 

2.231534 	 5.600907 	 8.025473 	 10.1067 	 12.65993 	 -5.663574 	 0 	 0 	 0 	 0.05 

2.142949 	 5.461745 	 8.218953 	 15.02003 	 10.57909 	 -6.831482 	 0 	 0 	 0 	 0.1 

2.109281 	 5.461894 	 7.641056 	 13.51572 	 32.2471 	 -7.622009 	 0 	 0 	 0 	 0.15 

2.064091 	 5.663754 	 7.615019 	 7.315933 	 49.0076 	 -10.46535 	 0 	 0 	 0 	 0.2 

1.154748 	 5.695178 	 7.842916 	 9.495316 	 47.92746 	 -5.711288 	 0 	 0 	 0 	 0.25 

0.6313178 	 5.835238 	 8.052407 	 0.7161102 	 23.67902 	 1.290802 	 0 	 0 	 0 	 0.3 

0.9035072 	 5.85918 	 8.275217 	 5.998383 	 20.70792 	 1.454468 	 -2.293639e-05 	 8.123907e-05 	 4.686131e-05 	 0.35 

0.9289455 	 5.802019 	 7.82047 	 2.620468 	 16.89395 	 -2.367859 	 -2.310925e-05 	 8.106679e-05 	 4.835379e-05 	 0.4 

0.7302278 	 5.83464 	 8.144284 	 1.96582 	 10.4059 	 -2.56221 	 -2.449214e-05 	 8.106679e-05 	 4.636383e-05 	 0.45 

0.1726809 	 5.912152 	 7.954844 	 3.124725 	 9.38266 	 -0.1851196 	 -2.397356e-05 	 8.192818e-05 	 4.652966e-05 	 0.5 

0.382771 	 5.852297 	 8.073805 	 3.18158 	 6.481659 	 -0.6024628 	 -2.431927e-05 	 8.227272e-05 	 4.652966e-05 	 0.55 

0.4279614 	 5.851698 	 7.975644 	 4.835846 	 16.62782 	 -0.2128143 	 -2.518359e-05 	 8.313411e-05 	 4.603217e-05 	 0.6 

0.2555797 	 5.872647 	 7.932548 	 -2.988724 	 2.983643 	 2.481598 	 -2.259065e-05 	 8.261728e-05 	 4.652966e-05 	 0.65 

0.08170172 	 5.903024 	 8.083233 	 -4.413559 	 -4.880615 	 2.92865 	 -2.397356e-05 	 8.261728e-05 	 4.553468e-05 	 0.7 

0.3386282 	 5.787055 	 7.93988 	 -14.18147 	 -5.576843 	 0.3572388 	 -2.380069e-05 	 8.175591e-05 	 4.66955e-05 	 0.75 

0.4129977 	 5.695328 	 8.336268 	 -22.84488 	 -30.41383 	 0.690033 	 -2.310925e-05 	 8.072224e-05 	 4.636383e-05 	 0.8 

0.2392693 	 5.601057 	 8.511942 	 -27.92485 	 -45.09639 	 3.218887 	 -2.276352e-05 	 8.037769e-05 	 4.934877e-05 	 0.85 

0.7600055 	 5.421642 	 8.78054 	 -31.61673 	 -90.84102 	 5.079483 	 -1.982486e-05 	 8.089452e-05 	 4.984627e-05 	 0.9 

1.044764 	 5.42673 	 8.535285 	 -26.16136 	 -97.82588 	 3.281952 	 -1.878769e-05 	 7.917175e-05 	 4.984627e-05 	 0.95 

1.972214 	 4.919162 	 8.026969 	 -31.17859 	 -72.42722 	 2.66037 	 -1.619476e-05 	 7.934402e-05 	 5.133875e-05 	 1 

2.714113 	 4.649815 	 8.098346 	 -25.72572 	 -56.77188 	 1.390015 	 -1.584903e-05 	 7.796582e-05 	 5.133875e-05 	 1.05 

3.203874 	 4.464415 	 8.262348 	 -2.324234 	 -43.0043 	 -1.666931 	 -1.360184e-05 	 7.986086e-05 	 5.117291e-05 	 1.1 

3.485641 	 4.441521 	 8.290779 	 -1.619904 	 -38.38583 	 -2.59343 	 -1.256465e-05 	 7.710445e-05 	 5.150458e-05 	 1.15 

3.705457 	 4.41279 	 7.720513 	 -0.01005554 	 -27.74696 	 -0.4490814 	 -1.221893e-05 	 7.848265e-05 	 5.117291e-05 	 1.2 

3.833696 	 4.391392 	 7.494412 	 0.9922333 	 -5.100754 	 1.331909 	 -1.187321e-05 	 7.744899e-05 	 5.150458e-05 	 1.25 

3.934401 	 4.328096 	 7.712582 	 0.7267609 	 1.869293 	 1.183487 	 -1.066318e-05 	 7.796582e-05 	 5.067542e-05 	 1.3 

4.075509 	 4.287395 	 7.800419 	 1.83638 	 8.411057 	 -1.364502 	 -1.083603e-05 	 7.710445e-05 	 5.117291e-05 	 1.35 

4.049921 	 4.33872 	 7.944968 	 1.262726 	 7.373642 	 -1.84874 	 -1.221893e-05 	 7.779355e-05 	 4.984627e-05 	 1.4 

3.929763 	 4.351439 	 7.89484 	 8.824432 	 18.88812 	 -2.782333 	 -1.118176e-05 	 7.710445e-05 	 5.216789e-05 	 1.45 

3.797334 	 4.434488 	 7.807153 	 22.02757 	 54.28058 	 -3.175415 	 -1.377469e-05 	 7.796582e-05 	 5.233372e-05 	 1.5 

3.532627 	 4.551504 	 7.775579 	 22.56212 	 71.25644 	 -3.487259 	 -1.429327e-05 	 7.951631e-05 	 5.216789e-05 	 1.55 

3.047205 	 4.644428 	 8.198154 	 24.38753 	 73.66505 	 -4.491516 	 -1.878769e-05 	 8.123907e-05 	 5.183623e-05 	 1.6 

2.334185 	 4.89926 	 8.359761 	 32.05962 	 81.85828 	 -6.965546 	 -1.861484e-05 	 8.003314e-05 	 5.067542e-05 	 1.65 

1.913706 	 5.066105 	 8.811814 	 8.497147 	 33.23869 	 -3.713593 	 -2.068918e-05 	 8.003314e-05 	 4.802213e-05 	 1.7 

1.347929 	 5.194044 	 8.573592 	 8.500443 	 16.55525 	 -0.3186035 	 -2.120776e-05 	 7.848265e-05 	 4.95146e-05 	 1.75 

1.076487 	 5.300735 	 7.960081 	 18.17311 	 56.15422 	 -1.877106 	 -2.172635e-05 	 8.141135e-05 	 4.968044e-05 	 1.8 

1.068257 	 5.330064 	 8.099842 	 6.286453 	 35.64392 	 -5.942139 	 -2.449214e-05 	 8.003314e-05 	 4.868546e-05 	 1.85 

0.5370466 	 5.45965 	 8.287636 	 -0.1876221 	 23.9333 	 -2.842621 	 -2.345497e-05 	 8.072224e-05 	 4.702715e-05 	 1.9 

-0.05910655 	 5.56664 	 8.258757 	 -1.37413 	 48.01334 	 8.434601 	 -2.414642e-05 	 8.003314e-05 	 4.769048e-05 	 1.95 

-0.2543826 	 5.486435 	 7.732933 	 5.169556 	 55.65579 	 6.042603 	 -2.501073e-05 	 8.227272e-05 	 4.885129e-05 	 2 

-0.08544264 	 5.527435 	 8.77231 	 6.852783 	 7.349686 	 -5.413193 	 -2.656648e-05 	 8.210045e-05 	 4.802213e-05 	 2.05 

-0.4328994 	 5.420894 	 8.323549 	 7.713654 	 23.54219 	 2.556656 	 -2.483786e-05 	 8.210045e-05 	 4.868546e-05 	 2.1 

-0.6853367 	 5.566939 	 8.271476 	 9.242447 	 -3.838852 	 6.163666 	 -2.483786e-05 	 8.175591e-05 	 4.802213e-05 	 2.15 

-0.7553668 	 5.799625 	 8.737145 	 22.2959 	 -18.46198 	 9.638992 	 -2.552931e-05 	 8.244501e-05 	 4.66955e-05 	 2.2 

-0.7751188 	 5.820723 	 8.973871 	 34.99817 	 -34.14565 	 8.415909 	 -2.639363e-05 	 8.192818e-05 	 4.520302e-05 	 2.25 

-0.006584021 	 5.917539 	 9.053029 	 77.86974 	 -50.54597 	 6.829819 	 -2.449214e-05 	 8.416777e-05 	 4.503719e-05 	 2.3 

0.001047458 	 6.194965 	 8.116751 	 73.00206 	 -47.05408 	 0.9750671 	 -2.431927e-05 	 8.502914e-05 	 4.221806e-05 	 2.35 

0.09711431 	 6.451443 	 6.684427 	 63.55812 	 -43.87347 	 0.6410217 	 -2.414642e-05 	 8.520142e-05 	 3.973061e-05 	 2.4 

0.1683414 	 7.136181 	 6.474636 	 47.02928 	 -36.39859 	 2.054276 	 -2.172635e-05 	 8.795784e-05 	 3.6414e-05 	 2.45 

0.6393982 	 7.326519 	 5.798727 	 33.608 	 -31.61304 	 4.353958 	 -2.32821e-05 	 8.813011e-05 	 3.624817e-05 	 2.5 

0.7875387 	 7.773335 	 5.516961 	 17.04849 	 -37.93896 	 6.209717 	 -2.224493e-05 	 8.813011e-05 	 3.293156e-05 	 2.55 

1.040126 	 7.781565 	 5.218136 	 4.899796 	 -22.81134 	 6.796448 	 -2.189922e-05 	 8.881921e-05 	 3.293156e-05 	 2.6 

1.353016 	 7.846058 	 5.370915 	 -5.070633 	 -15.6442 	 3.372635 	 -2.120776e-05 	 8.778557e-05 	 3.492152e-05 	 2.65 

1.709601 	 7.778871 	 5.586691 	 -13.81139 	 -11.63754 	 2.74968 	 -1.930627e-05 	 9.002515e-05 	 3.475569e-05 	 2.7 

1.521657 	 7.814784 	 5.431518 	 -34.56502 	 -2.613129 	 9.25618 	 -2.034344e-05 	 8.864694e-05 	 3.342906e-05 	 2.75 

1.253358 	 7.724403 	 4.924548 	 -73.31355 	 43.19463 	 12.65277 	 -2.017059e-05 	 8.778557e-05 	 3.823814e-05 	 2.8 

1.795193 	 6.892273 	 5.382437 	 -51.45676 	 51.25607 	 26.11671 	 -2.017059e-05 	 8.640735e-05 	 3.989644e-05 	 2.85 

1.312914 	 6.145286 	 7.551573 	 -63.59915 	 99.12044 	 30.93581 	 -2.017059e-05 	 8.53737e-05 	 4.387637e-05 	 2.9 

1.307976 	 6.590156 	 8.29437 	 -30.97606 	 91.35347 	 -9.033554 	 -1.999773e-05 	 8.382321e-05 	 4.437386e-05 	 2.95 

2.31548 	 5.789599 	 8.921049 	 10.85886 	 90.46211 	 -27.0601 	 -2.24178e-05 	 8.313411e-05 	 4.536885e-05 	 3 

0.04384359 	 5.829702 	 8.802238 	 0.9759216 	 85.36351 	 -26.95607 	 -2.639363e-05 	 8.434004e-05 	 4.6198e-05 	 3.05 

-0.8213566 	 5.699817 	 8.582421 	 28.21049 	 80.70442 	 -54.66275 	 -2.708507e-05 	 8.434004e-05 	 4.420804e-05 	 3.1 

-1.560263 	 6.044131 	 7.682206 	 20.72043 	 128.3472 	 -89.83282 	 -3.278952e-05 	 8.313411e-05 	 3.973061e-05 	 3.15 

-2.574651 	 6.0775 	 5.60794 	 15.37863 	 69.14671 	 -62.45284 	 -3.469101e-05 	 8.365094e-05 	 3.956477e-05 	 3.2 

-4.789576 	 6.354179 	 7.982677 	 -25.36667 	 63.10269 	 -75.80605 	 -3.849397e-05 	 8.123907e-05 	 3.923312e-05 	 3.25 

-4.812171 	 5.832694 	 6.50606 	 -23.51422 	 15.31509 	 -55.39317 	 -4.091405e-05 	 8.089452e-05 	 3.923312e-05 	 3.3 

-5.074784 	 5.088999 	 6.979661 	 12.46251 	 75.79979 	 -70.50763 	 -4.333411e-05 	 7.813809e-05 	 4.055977e-05 	 3.35 

-5.086306 	 5.015827 	 7.097425 	 28.45702 	 64.98566 	 -64.18852 	 -4.592705e-05 	 7.899948e-05 	 3.707733e-05 	 3.4 

-5.549133 	 4.771021 	 5.779274 	 27.46741 	 50.79739 	 -71.66876 	 -4.696422e-05 	 7.762128e-05 	 3.342906e-05 	 3.45 

-6.373632 	 4.240259 	 4.999367 	 28.46333 	 56.79822 	 -72.179 	 -5.059431e-05 	 7.607079e-05 	 3.060994e-05 	 3.5 

-6.882546 	 4.115013 	 5.16277 	 30.34386 	 71.33519 	 -76.57188 	 -5.180435e-05 	 7.417575e-05 	 2.911746e-05 	 3.55 

-7.410316 	 3.579014 	 4.873822 	 31.65172 	 57.629 	 -71.22852 	 -5.145863e-05 	 7.107478e-05 	 2.745915e-05 	 3.6 

-8.123036 	 3.387329 	 4.481923 	 24.05542 	 30.89153 	 -64.86597 	 -5.422443e-05 	 7.004112e-05 	 2.381088e-05 	 3.65 

-8.304246 	 3.120676 	 4.002187 	 13.05498 	 -0.4158173 	 -49.05641 	 -5.405156e-05 	 7.124706e-05 	 2.298174e-05 	 3.7 

-8.767971 	 3.103618 	 3.754688 	 10.38631 	 -12.90324 	 -35.95409 	 -5.076718e-05 	 7.210843e-05 	 2.082594e-05 	 3.75 

-8.754803 	 2.623433 	 3.660267 	 7.912903 	 -27.07895 	 -28.67775 	 -5.059431e-05 	 7.262526e-05 	 1.966513e-05 	 3.8 

-9.109592 	 2.807935 	 4.525018 	 -2.110809 	 -90.8788 	 2.545685 	 -4.851997e-05 	 7.331436e-05 	 2.198676e-05 	 3.85 

-10.27272 	 3.125764 	 5.302381 	 22.72778 	 -165.7548 	 58.157 	 -4.800139e-05 	 7.624306e-05 	 2.480588e-05 	 3.9 

-8.568954 	 2.528863 	 5.880728 	 1.742783 	 -182.2057 	 63.0899 	 -4.938429e-05 	 7.796582e-05 	 2.978079e-05 	 3.95 

-7.994647 	 3.253105 	 5.735281 	 29.44405 	 -196.4378 	 115.2114 	 -4.644563e-05 	 7.882721e-05 	 3.525319e-05 	 4 

-6.029617 	 3.818583 	 6.773312 	 55.65509 	 -157.4699 	 101.6288 	 -4.333411e-05 	 8.158362e-05 	 4.02281e-05 	 4.05 

-4.816211 	 3.944128 	 6.354179 	 9.308395 	 -121.6049 	 103.0788 	 -3.74568e-05 	 8.434004e-05 	 4.288139e-05 	 4.1 

